timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error,pSpintor::VAX_speed
0.34399997,0.65883249,-0.03817749,628391705,-4730.98730468,5299745,4522.57763671,0.99268281,1379.99975585
0.34799997,0.51516973,0.00182151,628391686,-4806.51855468,5299763,4557.81152343,0.94768673,1379.99975585
0.35199997,0.58998036,-0.00684356,628391667,-4748.15332031,5299782,4555.29492187,0.91540288,1379.99975585
0.35599997,0.55128616,0.00883674,628391648,-4751.58691406,5299800,4565.36181640,0.93352252,1379.99975585
0.35999997,0.31640207,0.05989456,628391628,-4830.55078125,5299818,4575.42871093,0.95448261,1379.99975585
0.36399997,0.35164168,0.06644630,628391609,-4782.48583984,5299837,4643.38085937,0.99807953,1379.99975585
0.36799997,0.48245334,-0.00832366,628391590,-4816.81787109,5299855,4681.13183593,0.92356568,1379.99975585
0.37199997,0.65558850,-0.07209014,628391571,-4803.08496093,5299874,4628.28027343,0.89653480,1379.99975585
0.37599997,0.64593571,-0.05643653,628391551,-4868.31640625,5299892,4600.59619140,0.84290450,1379.99975585
0.37999997,0.55400854,-0.01237583,628391532,-4830.55078125,5299911,4552.77832031,0.91461539,1379.99975585
0.38399997,0.52009326,0.01978874,628391513,-4813.38476562,5299929,4605.62988281,0.91780084,1379.99975585
0.38799997,0.27082532,0.06618882,628391493,-4847.71728515,5299947,4580.46240234,0.97216564,1379.99975585
0.39199997,0.31147333,0.05515378,628391474,-4823.68457031,5299966,4613.18017578,0.95727288,1379.99975585
0.39599997,0.30240729,0.02707302,628391455,-4816.81787109,5299984,4605.62988281,0.95446020,1379.99975585
0.39999997,0.46179586,-0.03215971,628391435,-4799.65185546,5300003,4701.26611328,0.86285400,1379.99975585
0.40399997,0.67938351,-0.10343199,628391416,-4840.85058593,5300021,4605.62988281,0.86306184,1379.99975585
0.40799997,0.68269819,-0.08914667,628391397,-4820.25146484,5300040,4628.28027343,0.86427581,1379.99975585
0.41199997,0.64102405,-0.03804981,628391378,-4820.25146484,5300058,4567.87841796,0.90855664,1379.99975585
0.41599997,0.32453563,0.06079947,628391358,-4847.71728515,5300077,4615.69677734,0.90272372,1379.99975585
0.41999997,0.35677292,0.06182307,628391339,-4755.02001953,5300095,4557.81152343,0.92910557,1379.99975585
0.42399997,0.28355881,0.05475908,628391320,-4772.18603515,5300114,4595.56298828,0.96011221,1379.99975585
0.42799997,0.37224593,0.00362789,628391301,-4755.02001953,5300132,4608.14648437,0.96938025,1379.99975585
0.43199997,0.51404070,-0.03424084,628391282,-4734.42041015,5300151,4706.29931640,0.91925275,1379.99975585
0.43599997,0.63083535,-0.07718557,628391263,-4748.15332031,5300169,4668.54833984,0.89328652,1379.99975585
0.43999997,0.75083011,-0.09277462,628391244,-4672.62255859,5300188,4618.21337890,0.88342678,1379.99975585
0.44399996,0.59423851,-0.00573647,628391225,-4717.25439453,5300206,4552.77832031,0.91282832,1379.99975585
0.44799996,0.32575133,0.06881976,628391207,-4682.92236328,5300224,4552.77832031,0.93678903,1379.99975585
0.45199996,0.13650359,0.11795961,628391188,-4648.58984375,5300243,4593.04589843,1.00444495,1379.99975585
0.45599996,0.29432418,0.04363775,628391169,-4624.55712890,5300261,4600.59619140,0.99055850,1379.99975585
0.45999996,0.31180781,0.01259517,628391151,-4614.25781250,5300280,4615.69677734,0.94647121,1379.99975585
0.46399996,0.39733690,-0.02535736,628391133,-4573.05908203,5300298,4643.38085937,0.88627678,1379.99975585
0.46799996,0.68821758,-0.08581876,628391114,-4500.96093750,5300317,4668.54833984,0.88547730,1379.99975585
0.47199996,0.48463752,-0.02875196,628391096,-4549.02636718,5300335,4620.73046875,0.90742474,1379.99975585
0.47599996,0.46722877,-0.02114212,628391078,-4573.05908203,5300354,4600.59667968,0.96400690,1379.99975585
0.47999996,0.26054665,0.06801521,628391060,-4470.06201171,5300372,4600.59619140,0.97830802,1379.99975585
0.48399996,0.06325523,0.11278438,628391042,-4421.99707031,5300391,4593.04589843,0.95938801,1379.99975585
0.48799996,0.12205332,0.07224237,628391025,-4353.33251953,5300409,4613.18017578,0.90020030,1379.99975585
0.49199996,0.15226480,0.01981461,628391007,-4377.36474609,5300427,4577.94580078,0.94067543,1379.99975585
0.49599996,0.29281193,-0.04068493,628390990,-4360.19873046,5300446,4598.07958984,0.98879688,1379.99975585
0.49999996,0.31259801,-0.04295563,628390972,-4312.13378906,5300464,4648.41455078,0.99504441,1379.99975585
0.50399996,0.41637060,-0.07329487,628390955,-4301.83398437,5300483,4668.54833984,0.97511768,1379.99975585
0.50799996,0.43073210,-0.05330657,628390938,-4260.63525390,5300501,4635.83056640,0.93304389,1379.99975585
0.51199996,0.32293450,-0.02416944,628390921,-4274.36816406,5300520,4618.21337890,0.93325114,1379.99975585
0.51599996,0.15421016,0.05848145,628390904,-4178.23779296,5300538,4593.04589843,0.89621073,1379.99975585
0.51999996,0.01310955,0.08009481,628390888,-4143.90527343,5300557,4590.52929687,0.93929767,1379.99975585
0.52399996,-0.00034364,0.06138396,628390871,-4082.10742187,5300575,4572.91210937,0.94655281,1379.99975585
0.52799996,0.23522426,-0.03340125,628390855,-4037.47558593,5300594,4615.69677734,0.97191047,1379.99975585
0.53199996,0.31997537,-0.06163477,628390839,-3955.07812500,5300612,4645.89746093,0.93386334,1379.99975585
0.53599996,0.27615344,-0.03712916,628390823,-3931.04541015,5300631,4686.16552734,0.91997689,1379.99975585
0.53999996,0.27932271,-0.05192160,628390807,-3931.04541015,5300649,4613.18017578,0.91313731,1379.99975585
0.54399996,0.28306421,-0.02847838,628390792,-3886.41357421,5300667,4588.01269531,0.94917845,1379.99975585
0.54799996,0.21993911,0.00282740,628390776,-3824.61547851,5300686,4547.74462890,0.96247273,1379.99975585
0.55199996,0.07617688,0.03619098,628390761,-3783.41674804,5300704,4598.07958984,0.96570014,1379.99975585
0.55599996,-0.06390394,0.07664847,628390746,-3731.91821289,5300723,4598.07958984,0.95080703,1379.99975585
0.55999996,0.15692602,-0.00386857,628390731,-3666.68701171,5300741,4630.79687500,0.93289381,1379.99975585
0.56399996,0.10701221,-0.01615333,628390717,-3622.05493164,5300760,4603.11328125,0.94920819,1379.99975585
0.56799996,0.31679221,-0.06280565,628390702,-3556.82373046,5300778,4683.64892578,0.94699394,1379.99975585
0.57199996,0.45038866,-0.09345245,628390688,-3529.35791015,5300797,4628.28027343,0.93008840,1379.99975585
0.57599996,0.15748867,0.01075530,628390674,-3501.89208984,5300815,4640.86425781,0.87996089,1379.99975585
0.57999996,0.27374249,-0.03641033,628390660,-3440.09399414,5300834,4575.42871093,0.86104100,1379.99975585
0.58399996,0.06085504,0.05816864,628390647,-3364.56298828,5300852,4590.52978515,0.87634867,1379.99975585
0.58799996,0.06773710,0.03302073,628390633,-3292.46508789,5300870,4565.36181640,0.90575027,1379.99975585
0.59199995,0.07715616,0.01740026,628390620,-3237.53344726,5300889,4572.91210937,1.00420629,1379.99975585
0.59599995,0.16737815,-0.01413154,628390607,-3192.90161132,5300907,4593.04589843,1.03562021,1379.99975585
0.59999995,0.22576031,-0.04736614,628390595,-3192.90161132,5300926,4666.03125000,1.02173471,1379.99975585
0.60399995,0.11546713,0.00884509,628390582,-3079.60498046,5300944,4681.13183593,0.88905829,1379.99975585
0.60799995,0.15218900,-0.00716543,628390570,-3007.50732421,5300963,4633.31396484,0.89731913,1379.99975585
0.61199995,0.14892709,0.00247955,628390558,-2962.87524414,5300981,4613.18017578,0.86531215,1379.99975585
0.61599995,0.15112648,0.01189756,628390546,-2849.57885742,5301000,4567.87890625,0.96578079,1379.99975585
0.61999995,0.32423231,-0.04748010,628390535,-2818.67968750,5301018,4590.52929687,0.97706276,1379.99975585
0.62399995,0.16388264,0.00735163,628390524,-2756.88159179,5301036,4562.84521484,1.00948321,1379.99975585
0.62799995,0.25134214,-0.01289463,628390513,-2691.65039062,5301055,4620.73046875,0.94828313,1379.99975585
0.63199995,0.08392862,0.03319358,628390502,-2619.55249023,5301073,4623.24658203,0.91124278,1379.99975585
0.63599995,-0.01944790,0.05532097,628390492,-2571.48730468,5301092,4698.74902343,0.86413544,1379.99975585
0.63999995,0.05693369,0.00509166,628390481,-2509.68920898,5301110,4605.62988281,0.92633360,1379.99975585
0.64399995,-0.05496086,0.03910589,628390471,-2495.95629882,5301128,4620.72998046,0.94365376,1379.99975585
0.64799995,0.04977449,0.01047992,628390462,-2399.82592773,5301147,4547.74462890,0.96097576,1379.99975585
0.65199995,0.12389229,-0.02747821,628390452,-2317.42846679,5301165,4615.69677734,0.95916974,1379.99975585
0.65599995,0.16074016,-0.03498506,628390443,-2238.46435546,5301184,4580.46240234,0.93521630,1379.99975585
0.65999995,0.24429656,-0.04933929,628390434,-2142.33398437,5301202,4623.24707031,0.92837679,1379.99975585
0.66399995,0.03833856,0.01016283,628390426,-2159.50000000,5301221,4593.04638671,0.92314237,1379.99975585
0.66799995,0.12553334,0.00028467,628390417,-2042.77038574,5301239,4653.44775390,0.94046449,1379.99975585
0.67199995,-0.11587059,0.05674314,628390409,-1994.70520019,5301257,4635.83056640,0.95073777,1379.99975585
0.67599995,0.01834192,0.00340890,628390402,-1898.57482910,5301276,4628.28027343,0.93886566,1379.99975585
0.67999995,-0.04892875,0.01688766,628390394,-1843.64318847,5301294,4593.04638671,0.98638761,1379.99975585
0.68399995,0.05687464,-0.02809047,628390387,-1778.41186523,5301313,4565.36181640,0.98156142,1379.99975585
0.68799995,-0.04276663,0.01051425,628390380,-1678.84826660,5301331,4605.62988281,0.96525442,1379.99975585
0.69199995,0.10209208,-0.03399753,628390373,-1606.75048828,5301350,4593.04589843,0.90606570,1379.99975585
0.69599995,0.05109740,-0.00836372,628390367,-1520.91979980,5301368,4582.97900390,0.96063548,1379.99975585
0.69999995,-0.00633392,0.00425338,628390361,-1469.42138671,5301387,4638.34716796,0.94775474,1379.99975585
0.70399995,-0.01485609,-0.00507164,628390355,-1397.32360839,5301405,4683.64892578,0.96407014,1379.99975585
0.70799995,-0.01434276,-0.00679588,628390350,-1328.65905761,5301423,4638.34716796,0.93911010,1379.99975585
0.71199995,0.05077461,-0.03351116,628390345,-1239.39514160,5301442,4613.17968750,0.96508330,1379.99975585
0.71599995,-0.04072754,0.00325059,628390340,-1177.59704589,5301460,4595.56298828,0.90891665,1379.99975585
0.71999995,-0.10677739,0.01190423,628390335,-1074.60021972,5301479,4572.91210937,0.96247774,1379.99975585
0.72399995,-0.11229778,0.01351976,628390331,-1023.10180664,5301497,4575.42919921,0.98281997,1379.99975585
0.72799995,-0.13992945,0.01114606,628390327,-954.43725585,5301516,4582.97900390,1.03738868,1379.99975585
0.73199995,-0.09651014,-0.00311279,628390324,-858.30688476,5301534,4625.76367187,0.99833494,1379.99975585
0.73599994,-0.14092989,0.00130176,628390320,-789.64233398,5301553,4673.58154296,0.96390736,1379.99975585
0.73999994,-0.14017693,-0.00852537,628390317,-703.81164550,5301571,4666.03173828,0.90975219,1379.99975585
0.74399994,-0.08480278,-0.01721048,628390315,-614.54772949,5301590,4605.62988281,0.93110096,1379.99975585
0.74799994,-0.14114481,-0.00269651,628390312,-552.74963378,5301608,4577.94580078,0.93634086,1379.99975585
0.75199994,-0.13890491,0.00077724,628390310,-470.35217285,5301626,4585.49609375,0.93151563,1379.99975585
0.75599994,-0.09514374,-0.01911306,628390309,-394.82116699,5301645,4613.18017578,0.91459208,1379.99975585
0.75999994,-0.08692806,-0.02256536,628390307,-308.99047851,5301663,4595.56298828,0.91640460,1379.99975585
0.76399994,-0.11282734,-0.01105880,628390306,-233.45947265,5301682,4590.52929687,0.95486724,1379.99975585
0.76799994,-0.13262917,-0.00392580,628390305,-151.06201171,5301700,4615.69677734,0.99634814,1379.99975585
0.77199994,-0.12185143,-0.00544500,628390305,-58.36486816,5301719,4681.13183593,0.97541570,1379.99975585
0.77599994,-0.10020753,-0.01446008,628390305,17.16613769,5301737,4628.28027343,0.91622805,1379.99975585
0.77999994,-0.26098424,0.03467845,628390305,78.96423339,5301756,4618.21337890,0.89328128,1379.99975585
0.78399994,-0.38902536,0.06336259,628390306,154.49523925,5301774,4567.87890625,0.90516084,1379.99975585
0.78799994,-0.41754311,0.05477762,628390306,271.22497558,5301792,4582.97900390,0.94060248,1379.99975585
0.79199994,-0.45562222,0.04831838,628390308,336.45629882,5301811,4552.77832031,0.99919897,1379.99975585
0.79599994,-0.44145137,0.02568769,628390309,425.72021484,5301829,4613.18017578,1.00343215,1379.99975585
0.79999994,-0.49697875,0.02756547,628390311,497.81799316,5301848,4635.83056640,0.95129221,1379.99975585
0.80399994,-0.50588047,0.01492547,628390313,590.51513671,5301866,4718.88330078,0.86190366,1379.99975585
0.80799994,-0.53239393,0.00773525,628390316,679.77905273,5301885,4643.38085937,0.84156882,1379.99975585
0.81199994,-0.54852753,0.00815010,628390319,745.01037597,5301903,4588.01269531,0.90318548,1379.99975585
0.81599994,-0.57987070,0.00858688,628390322,844.57397460,5301922,4560.32861328,0.94667977,1379.99975585
0.81999994,-0.55549573,-0.00958108,628390325,930.40466308,5301940,4590.52978515,0.98715579,1379.99975585
0.82399994,-0.56008094,-0.01147985,628390329,1016.23535156,5301958,4582.97900390,0.96018135,1379.99975585
0.82799994,-0.58481109,-0.01302099,628390333,1081.46667480,5301977,4605.62988281,0.97045654,1379.99975585
0.83199994,-0.54068475,-0.02624464,628390338,1160.43090820,5301995,4603.11328125,0.88871335,1379.99975585
0.83599994,-0.53602528,-0.02302598,628390343,1266.86096191,5302014,4658.48144531,0.93522864,1379.99975585
0.83999994,-0.49083057,-0.03881788,628390348,1356.12487792,5302032,4681.13183593,0.89315474,1379.99975585
0.84399994,-0.54306149,-0.02119207,628390354,1445.38879394,5302051,4628.28027343,0.93665081,1379.99975585
0.84799994,-0.53235960,-0.02191734,628390360,1517.48657226,5302069,4598.07958984,0.87947654,1379.99975585
0.85199994,-0.50547415,-0.03260707,628390366,1603.31726074,5302088,4567.87890625,0.95015245,1379.99975585
0.85599994,-0.57794636,-0.01756525,628390372,1661.68212890,5302106,4598.07958984,0.93082439,1379.99975585
0.85999994,-0.56818813,-0.02164363,628390379,1747.51281738,5302125,4593.04638671,0.96123248,1379.99975585
0.86399994,-0.68081563,0.02097463,628390386,1857.37609863,5302143,4615.69677734,0.93828594,1379.99975585
0.86799994,-0.57484072,-0.01191711,628390394,1943.20678710,5302162,4620.77294921,0.90424847,1379.99975585
0.87199994,-0.56232124,-0.02844572,628390402,2011.87133789,5302180,4683.64892578,0.82492786,1379.99975585
0.87599994,-0.55377638,-0.02711200,628390410,2121.73461914,5302199,4623.24707031,0.84124219,1379.99975585
0.87999993,-0.63666945,-0.01250362,628390419,2145.76708984,5302217,4615.69677734,0.87325370,1379.99975585
0.88399993,-0.43652319,-0.05164289,628390428,2276.22973632,5302235,4585.49609375,0.92278999,1379.99975585
0.88799993,-0.47640904,-0.03237581,628390437,2365.49365234,5302254,4595.56298828,0.91494464,1379.99975585
0.89199993,-0.49449431,-0.01678752,628390447,2420.42529296,5302272,4588.01269531,0.87991672,1379.99975585
0.89599993,-0.70656299,0.05246543,628390456,2523.42211914,5302291,4585.49609375,0.87005794,1379.99975585
0.89999993,-0.72783005,0.04590368,628390467,2612.68603515,5302309,4618.21337890,0.91757905,1379.99975585
0.90399993,-0.75002938,0.04245615,628390477,2708.81640625,5302328,4671.06494140,0.90932548,1379.99975585
0.90799993,-0.84311062,0.04081940,628390488,2756.88159179,5302346,4673.58203125,0.94376134,1379.99975585
0.91199993,-0.70492821,-0.00803780,628390500,2870.17822265,5302365,4618.21337890,0.87551242,1379.99975585
0.91599993,-0.66864335,-0.01789522,628390511,2945.70922851,5302383,4577.94580078,0.85357147,1379.99975585
0.91999993,-0.64084541,-0.01837944,628390523,3024.67333984,5302401,4555.29492187,0.81653207,1379.99975585
0.92399993,-0.55573171,-0.04039883,628390535,3117.37060546,5302420,4585.49609375,0.90532940,1379.99975585
0.92799993,-0.64359265,-0.00813531,628390548,3172.30224609,5302438,4577.94580078,0.91318309,1379.99975585
0.93199993,-0.63066154,0.00137901,628390561,3299.33154296,5302457,4608.14648437,0.96473091,1379.99975585
0.93599993,-0.55081367,-0.01990342,628390574,3371.42944335,5302475,4638.34716796,0.92466950,1379.99975585
0.93999993,-0.61817574,-0.01538777,628390588,3385.16235351,5302494,4671.06494140,0.91984421,1379.99975585
0.94399993,-0.59926712,-0.00351953,628390602,3536.22436523,5302512,4643.38085937,0.86468422,1379.99975585
0.94799993,-0.73806375,0.03237104,628390616,3584.28955078,5302531,4577.94531250,0.91422051,1379.99975585
0.95199993,-0.61986231,0.00569224,628390631,3707.88574218,5302549,4580.46240234,0.92811244,1379.99975585
0.95599993,-0.72401320,0.00674414,628390646,3738.78466796,5302567,4588.01269531,0.93939244,1379.99975585
0.95999993,-0.61988687,-0.00996136,628390661,3838.34838867,5302586,4590.52978515,0.92047339,1379.99975585
0.96399993,-0.50525879,-0.04289221,628390676,3910.44604492,5302604,4572.91210937,0.95088255,1379.99975585
0.96799993,-0.59207338,0.00007104,628390692,4037.47558593,5302623,4603.11279296,0.96518260,1379.99975585
0.97199993,-0.58581066,-0.00757622,628390708,4109.57324218,5302641,4663.51464843,0.94525694,1379.99975585
0.97599993,-0.54712921,-0.01893115,628390725,4167.93798828,5302660,4668.54833984,0.90076047,1379.99975585
0.97999993,-0.56400078,-0.00245857,628390742,4267.50146484,5302678,4628.28027343,0.87882161,1379.99975585
0.98399993,-0.65848141,0.01450324,628390759,4322.43310546,5302697,4598.07958984,0.90820688,1379.99975585
0.98799993,-0.51198399,-0.00962042,628390776,4439.16308593,5302715,4582.97900390,0.93962079,1379.99975585
0.99199993,-0.61408561,0.01559996,628390794,4470.06201171,5302734,4567.87890625,0.98110157,1379.99975585
0.99599993,-0.61317157,0.00613331,628390812,4528.42675781,5302752,4577.94580078,1.02761781,1379.99975585
0.99999993,-0.51413393,-0.02097249,628390831,4645.15673828,5302771,4620.73046875,0.98715007,1379.99975585
1.00399993,-0.48410135,-0.02803134,628390849,4706.95458984,5302789,4655.96435546,0.92897003,1379.99975585
